BarTp,Trade,,,,,,,,BarTp,Bid,,,,,,,,BarTp,Ask,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CT10 Govt,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open
2/7/2018 13:30,0,0,60,99.390625,99.4375,99.4375,99.390625,,2/7/2018 13:30,0,0,60,99.3125,99.34375,99.34375,99.3125,,2/7/2018 13:30,0,0,60,99.390625,99.4375,99.4375,99.390625
2/7/2018 13:31,0,0,48,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:31,0,0,48,99.34375,99.390625,99.390625,99.34375,,2/7/2018 13:31,0,0,48,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:32,0,0,68,99.4375,99.484375,99.484375,99.4375,,2/7/2018 13:32,0,0,68,99.390625,99.4375,99.4375,99.390625,,2/7/2018 13:32,0,0,68,99.4375,99.484375,99.484375,99.4375
2/7/2018 13:33,0,0,68,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:33,0,0,68,99.390625,99.4375,99.390625,99.4375,,2/7/2018 13:33,0,0,68,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:34,0,0,72,99.484375,99.515625,99.484375,99.484375,,2/7/2018 13:34,0,0,72,99.390625,99.4375,99.4375,99.390625,,2/7/2018 13:34,0,0,72,99.484375,99.515625,99.484375,99.484375
2/7/2018 13:35,0,0,50,99.484375,99.515625,99.484375,99.484375,,2/7/2018 13:35,0,0,50,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:35,0,0,50,99.484375,99.515625,99.484375,99.484375
2/7/2018 13:36,0,0,62,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:36,0,0,62,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:36,0,0,62,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:37,0,0,70,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:37,0,0,70,99.390625,99.4375,99.390625,99.4375,,2/7/2018 13:37,0,0,70,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:38,0,0,68,99.4375,99.484375,99.4375,99.484375,,2/7/2018 13:38,0,0,68,99.34375,99.390625,99.34375,99.390625,,2/7/2018 13:38,0,0,68,99.4375,99.484375,99.4375,99.484375
2/7/2018 13:39,0,0,62,99.4375,99.484375,99.484375,99.4375,,2/7/2018 13:39,0,0,62,99.34375,99.4375,99.4375,99.34375,,2/7/2018 13:39,0,0,62,99.4375,99.484375,99.484375,99.4375
2/7/2018 13:40,0,0,42,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:40,0,0,42,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:40,0,0,42,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:41,0,0,64,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:41,0,0,64,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:41,0,0,64,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:42,0,0,58,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:42,0,0,58,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:42,0,0,58,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:43,0,0,46,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:43,0,0,46,99.390625,99.4375,99.390625,99.4375,,2/7/2018 13:43,0,0,46,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:44,0,0,62,99.484375,99.484375,99.484375,99.484375,,2/7/2018 13:44,0,0,62,99.390625,99.390625,99.390625,99.390625,,2/7/2018 13:44,0,0,62,99.484375,99.484375,99.484375,99.484375
2/7/2018 13:45,0,0,66,99.4375,99.484375,99.4375,99.484375,,2/7/2018 13:45,0,0,66,99.390625,99.390625,99.390625,99.390625,,2/7/2018 13:45,0,0,66,99.4375,99.484375,99.4375,99.484375
2/7/2018 13:46,0,0,60,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:46,0,0,60,99.390625,99.390625,99.390625,99.390625,,2/7/2018 13:46,0,0,60,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:47,0,0,68,99.390625,99.4375,99.4375,99.4375,,2/7/2018 13:47,0,0,68,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:47,0,0,68,99.390625,99.4375,99.4375,99.4375
2/7/2018 13:48,0,0,68,99.390625,99.4375,99.390625,99.4375,,2/7/2018 13:48,0,0,68,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:48,0,0,68,99.390625,99.4375,99.390625,99.4375
2/7/2018 13:49,0,0,66,99.390625,99.4375,99.4375,99.390625,,2/7/2018 13:49,0,0,66,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:49,0,0,66,99.390625,99.4375,99.4375,99.390625
2/7/2018 13:50,0,0,64,99.390625,99.4375,99.4375,99.4375,,2/7/2018 13:50,0,0,64,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:50,0,0,64,99.390625,99.4375,99.4375,99.4375
2/7/2018 13:51,0,0,56,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:51,0,0,56,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:51,0,0,56,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:52,0,0,64,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:52,0,0,64,99.34375,99.390625,99.34375,99.34375,,2/7/2018 13:52,0,0,64,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:53,0,0,64,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:53,0,0,64,99.34375,99.390625,99.34375,99.34375,,2/7/2018 13:53,0,0,64,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:54,0,0,48,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:54,0,0,48,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:54,0,0,48,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:55,0,0,50,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:55,0,0,50,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:55,0,0,50,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:56,0,0,58,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:56,0,0,58,99.34375,99.390625,99.34375,99.34375,,2/7/2018 13:56,0,0,58,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:57,0,0,62,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:57,0,0,62,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:57,0,0,62,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:58,0,0,48,99.4375,99.4375,99.4375,99.4375,,2/7/2018 13:58,0,0,48,99.34375,99.390625,99.34375,99.34375,,2/7/2018 13:58,0,0,48,99.4375,99.4375,99.4375,99.4375
2/7/2018 13:59,0,0,54,99.390625,99.4375,99.390625,99.4375,,2/7/2018 13:59,0,0,54,99.34375,99.34375,99.34375,99.34375,,2/7/2018 13:59,0,0,54,99.390625,99.4375,99.390625,99.4375
2/7/2018 14:00,0,0,72,99.390625,99.4375,99.4375,99.390625,,2/7/2018 14:00,0,0,72,99.34375,99.390625,99.390625,99.34375,,2/7/2018 14:00,0,0,72,99.390625,99.4375,99.4375,99.390625
2/7/2018 14:01,0,0,70,99.4375,99.484375,99.484375,99.4375,,2/7/2018 14:01,0,0,70,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:01,0,0,70,99.4375,99.484375,99.484375,99.4375
2/7/2018 14:02,0,0,42,99.484375,99.484375,99.484375,99.484375,,2/7/2018 14:02,0,0,42,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:02,0,0,42,99.484375,99.484375,99.484375,99.484375
2/7/2018 14:03,0,0,62,99.484375,99.484375,99.484375,99.484375,,2/7/2018 14:03,0,0,62,99.390625,99.4375,99.390625,99.4375,,2/7/2018 14:03,0,0,62,99.484375,99.484375,99.484375,99.484375
2/7/2018 14:04,0,0,72,99.484375,99.484375,99.484375,99.484375,,2/7/2018 14:04,0,0,72,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:04,0,0,72,99.484375,99.484375,99.484375,99.484375
2/7/2018 14:05,0,0,62,99.4375,99.484375,99.4375,99.484375,,2/7/2018 14:05,0,0,62,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:05,0,0,62,99.4375,99.484375,99.4375,99.484375
2/7/2018 14:06,0,0,72,99.4375,99.484375,99.484375,99.4375,,2/7/2018 14:06,0,0,72,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:06,0,0,72,99.4375,99.484375,99.484375,99.4375
2/7/2018 14:07,0,0,68,99.484375,99.484375,99.484375,99.484375,,2/7/2018 14:07,0,0,68,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:07,0,0,68,99.484375,99.484375,99.484375,99.484375
2/7/2018 14:08,0,0,68,99.4375,99.484375,99.484375,99.484375,,2/7/2018 14:08,0,0,68,99.390625,99.390625,99.390625,99.390625,,2/7/2018 14:08,0,0,68,99.4375,99.484375,99.484375,99.484375
2/7/2018 14:09,0,0,70,99.4375,99.484375,99.484375,99.484375,,2/7/2018 14:09,0,0,70,99.390625,99.4375,99.4375,99.390625,,2/7/2018 14:09,0,0,70,99.4375,99.484375,99.484375,99.484375
