DateTime,CT10Govt_TRADE_VALUE,CT10Govt_TRADE_VOLUME,CT10Govt_TRADE_NUM_TICKS,CT10Govt_TRADE_LOW_PRICE,CT10Govt_TRADE_HIGH_PRICE,CT10Govt_TRADE_CLOSE_PRICE,CT10Govt_TRADE_OPEN_PRICE,CT10Govt_BID_VALUE,CT10Govt_BID_VOLUME,CT10Govt_BID_NUM_TICKS,CT10Govt_BID_LOW_PRICE,CT10Govt_BID_HIGH_PRICE,CT10Govt_BID_CLOSE_PRICE,CT10Govt_BID_OPEN_PRICE,CT10Govt_ASK_VALUE,CT10Govt_ASK_VOLUME,CT10Govt_ASK_NUM_TICKS,CT10Govt_ASK_LOW_PRICE,CT10Govt_ASK_HIGH_PRICE,CT10Govt_ASK_CLOSE_PRICE,CT10Govt_ASK_OPEN_PRICE
2018-02-07 13:30,0,0,60,99.390625,99.4375,99.4375,99.390625,0,0,60,99.3125,99.34375,99.34375,99.3125,0,0,60,99.390625,99.4375,99.4375,99.390625
2018-02-07 13:31,0,0,48,99.4375,99.4375,99.4375,99.4375,0,0,48,99.34375,99.390625,99.390625,99.34375,0,0,48,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:32,0,0,68,99.4375,99.484375,99.484375,99.4375,0,0,68,99.390625,99.4375,99.4375,99.390625,0,0,68,99.4375,99.484375,99.484375,99.4375
2018-02-07 13:33,0,0,68,99.484375,99.484375,99.484375,99.484375,0,0,68,99.390625,99.4375,99.390625,99.4375,0,0,68,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:34,0,0,72,99.484375,99.515625,99.484375,99.484375,0,0,72,99.390625,99.4375,99.4375,99.390625,0,0,72,99.484375,99.515625,99.484375,99.484375
2018-02-07 13:35,0,0,50,99.484375,99.515625,99.484375,99.484375,0,0,50,99.4375,99.4375,99.4375,99.4375,0,0,50,99.484375,99.515625,99.484375,99.484375
2018-02-07 13:36,0,0,62,99.484375,99.484375,99.484375,99.484375,0,0,62,99.4375,99.4375,99.4375,99.4375,0,0,62,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:37,0,0,70,99.484375,99.484375,99.484375,99.484375,0,0,70,99.390625,99.4375,99.390625,99.4375,0,0,70,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:38,0,0,68,99.4375,99.484375,99.4375,99.484375,0,0,68,99.34375,99.390625,99.34375,99.390625,0,0,68,99.4375,99.484375,99.4375,99.484375
2018-02-07 13:39,0,0,62,99.4375,99.484375,99.484375,99.4375,0,0,62,99.34375,99.4375,99.4375,99.34375,0,0,62,99.4375,99.484375,99.484375,99.4375
2018-02-07 13:40,0,0,42,99.484375,99.484375,99.484375,99.484375,0,0,42,99.4375,99.4375,99.4375,99.4375,0,0,42,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:41,0,0,64,99.484375,99.484375,99.484375,99.484375,0,0,64,99.4375,99.4375,99.4375,99.4375,0,0,64,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:42,0,0,58,99.484375,99.484375,99.484375,99.484375,0,0,58,99.4375,99.4375,99.4375,99.4375,0,0,58,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:43,0,0,46,99.484375,99.484375,99.484375,99.484375,0,0,46,99.390625,99.4375,99.390625,99.4375,0,0,46,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:44,0,0,62,99.484375,99.484375,99.484375,99.484375,0,0,62,99.390625,99.390625,99.390625,99.390625,0,0,62,99.484375,99.484375,99.484375,99.484375
2018-02-07 13:45,0,0,66,99.4375,99.484375,99.4375,99.484375,0,0,66,99.390625,99.390625,99.390625,99.390625,0,0,66,99.4375,99.484375,99.4375,99.484375
2018-02-07 13:46,0,0,60,99.4375,99.4375,99.4375,99.4375,0,0,60,99.390625,99.390625,99.390625,99.390625,0,0,60,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:47,0,0,68,99.390625,99.4375,99.4375,99.4375,0,0,68,99.34375,99.34375,99.34375,99.34375,0,0,68,99.390625,99.4375,99.4375,99.4375
2018-02-07 13:48,0,0,68,99.390625,99.4375,99.390625,99.4375,0,0,68,99.34375,99.34375,99.34375,99.34375,0,0,68,99.390625,99.4375,99.390625,99.4375
2018-02-07 13:49,0,0,66,99.390625,99.4375,99.4375,99.390625,0,0,66,99.34375,99.34375,99.34375,99.34375,0,0,66,99.390625,99.4375,99.4375,99.390625
2018-02-07 13:50,0,0,64,99.390625,99.4375,99.4375,99.4375,0,0,64,99.34375,99.34375,99.34375,99.34375,0,0,64,99.390625,99.4375,99.4375,99.4375
2018-02-07 13:51,0,0,56,99.4375,99.4375,99.4375,99.4375,0,0,56,99.34375,99.34375,99.34375,99.34375,0,0,56,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:52,0,0,64,99.4375,99.4375,99.4375,99.4375,0,0,64,99.34375,99.390625,99.34375,99.34375,0,0,64,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:53,0,0,64,99.4375,99.4375,99.4375,99.4375,0,0,64,99.34375,99.390625,99.34375,99.34375,0,0,64,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:54,0,0,48,99.4375,99.4375,99.4375,99.4375,0,0,48,99.34375,99.34375,99.34375,99.34375,0,0,48,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:55,0,0,50,99.4375,99.4375,99.4375,99.4375,0,0,50,99.34375,99.34375,99.34375,99.34375,0,0,50,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:56,0,0,58,99.4375,99.4375,99.4375,99.4375,0,0,58,99.34375,99.390625,99.34375,99.34375,0,0,58,99.4375,99.4375,99.4375,99.4375
2018-02-07 13:57,0,0,62,99.4375,99.4375,99.4375,99.4375,0,0,62,99.34375,99.34375,99.34375,99.34375,0,0,62,99.4375,99.4375,99.4375,99.4375
